operation,role,group_size,n_parties,hkdf_extract,hmac,hkdf_expand,hash,aead_encrypt,aead_decrypt,signature_key_gen,verify_signature,sign,hpke_seal,hpke_open,hpke_setup_sender_and_export,hpke_setup_receiver_and_export,derive_hpke_keypair
add,new_receiver,8,1,1,1,15,114,0,1,0,10,0,0,1,0,0,1
add,new_receiver,16,1,1,1,15,258,0,1,0,18,0,0,1,0,0,1
add,new_receiver,32,1,1,1,15,578,0,1,0,34,0,0,1,0,0,1
add,new_receiver,64,1,1,1,15,1282,0,1,0,66,0,0,1,0,0,1
add,new_receiver,128,1,1,1,15,2818,0,1,0,130,0,0,1,0,0,1
add,new_receiver,256,1,1,1,15,6146,0,1,0,258,0,0,1,0,0,1
add,new_receiver,512,1,1,1,15,13314,0,1,0,514,0,0,1,0,0,1
add,receiver,8,7,14,14,113,665,0,0,0,28,0,0,7,0,0,18
add,receiver,16,15,30,30,247,2865,0,0,0,60,0,0,15,0,0,41
add,receiver,32,31,62,62,517,11873,0,0,0,124,0,0,31,0,0,88
add,receiver,64,63,126,126,1059,48321,0,0,0,252,0,0,63,0,0,183
add,receiver,128,127,254,254,2145,194945,0,0,0,508,0,0,127,0,0,374
add,receiver,256,255,510,510,4319,783105,0,0,0,1020,0,0,255,0,0,757
add,receiver,512,511,1022,1022,8669,3139073,0,0,0,2044,0,0,511,0,0,1524
add,sender,8,1,2,2,22,96,1,0,0,0,0,4,0,0,0,5
add,sender,16,1,2,2,24,192,1,0,0,0,0,5,0,0,0,6
add,sender,32,1,2,2,26,384,1,0,0,0,0,6,0,0,0,7
add,sender,64,1,2,2,28,768,1,0,0,0,0,7,0,0,0,8
add,sender,128,1,2,2,30,1536,1,0,0,0,0,8,0,0,0,9
add,sender,256,1,2,2,32,3072,1,0,0,0,0,9,0,0,0,10
add,sender,512,1,2,2,34,6144,1,0,0,0,0,10,0,0,0,11
add,system,8,1,17,17,150,875,1,1,0,38,0,4,8,0,0,24
add,system,16,1,33,33,286,3315,1,1,0,78,0,5,16,0,0,48
add,system,32,1,65,65,558,12835,1,1,0,158,0,6,32,0,0,96
add,system,64,1,129,129,1102,50371,1,1,0,318,0,7,64,0,0,192
add,system,128,1,257,257,2190,199299,1,1,0,638,0,8,128,0,0,384
add,system,256,1,513,513,4366,792323,1,1,0,1278,0,9,256,0,0,768
add,system,512,1,1025,1025,8718,3158531,1,1,0,2558,0,10,512,0,0,1536
remove,receiver,8,6,12,12,86,282,0,0,0,12,0,0,6,0,0,10
remove,receiver,16,14,28,28,204,1330,0,0,0,28,0,0,14,0,0,25
remove,receiver,32,30,60,60,442,5730,0,0,0,60,0,0,30,0,0,56
remove,receiver,64,62,124,124,920,23746,0,0,0,124,0,0,62,0,0,119
remove,receiver,128,126,252,252,1878,96642,0,0,0,252,0,0,126,0,0,246
remove,receiver,256,254,508,508,3796,389890,0,0,0,508,0,0,254,0,0,501
remove,receiver,512,510,1020,1020,7634,1566210,0,0,0,1020,0,0,510,0,0,1012
remove,sender,8,1,2,2,18,47,0,0,0,0,0,4,0,0,0,4
remove,sender,16,1,2,2,20,95,0,0,0,0,0,6,0,0,0,5
remove,sender,32,1,2,2,22,191,0,0,0,0,0,8,0,0,0,6
remove,sender,64,1,2,2,24,383,0,0,0,0,0,10,0,0,0,7
remove,sender,128,1,2,2,26,767,0,0,0,0,0,12,0,0,0,8
remove,sender,256,1,2,2,28,1535,0,0,0,0,0,14,0,0,0,9
remove,sender,512,1,2,2,30,3071,0,0,0,0,0,16,0,0,0,10
remove,system,8,1,14,14,104,329,0,0,0,12,0,4,6,0,0,14
remove,system,16,1,30,30,224,1425,0,0,0,28,0,6,14,0,0,30
remove,system,32,1,62,62,464,5921,0,0,0,60,0,8,30,0,0,62
remove,system,64,1,126,126,944,24129,0,0,0,124,0,10,62,0,0,126
remove,system,128,1,254,254,1904,97409,0,0,0,252,0,12,126,0,0,254
remove,system,256,1,510,510,3824,391425,0,0,0,508,0,14,254,0,0,510
remove,system,512,1,1022,1022,7664,1569281,0,0,0,1020,0,16,510,0,0,1022
update,receiver,8,7,14,14,99,322,0,0,0,14,0,0,7,0,0,11
update,receiver,16,15,30,30,217,1410,0,0,0,30,0,0,15,0,0,26
update,receiver,32,31,62,62,455,5890,0,0,0,62,0,0,31,0,0,57
update,receiver,64,63,126,126,933,24066,0,0,0,126,0,0,63,0,0,120
update,receiver,128,127,254,254,1891,97282,0,0,0,254,0,0,127,0,0,247
update,receiver,256,255,510,510,3809,391170,0,0,0,510,0,0,255,0,0,502
update,receiver,512,511,1022,1022,7647,1568770,0,0,0,1022,0,0,511,0,0,1013
update,sender,8,1,2,2,18,46,0,0,0,0,0,3,0,0,0,4
update,sender,16,1,2,2,20,94,0,0,0,0,0,4,0,0,0,5
update,sender,32,1,2,2,22,190,0,0,0,0,0,5,0,0,0,6
update,sender,64,1,2,2,24,382,0,0,0,0,0,6,0,0,0,7
update,sender,128,1,2,2,26,766,0,0,0,0,0,7,0,0,0,8
update,sender,256,1,2,2,28,1534,0,0,0,0,0,8,0,0,0,9
update,sender,512,1,2,2,30,3070,0,0,0,0,0,9,0,0,0,10
update,system,8,1,16,16,117,368,0,0,0,14,0,3,7,0,0,15
update,system,16,1,32,32,237,1504,0,0,0,30,0,4,15,0,0,31
update,system,32,1,64,64,477,6080,0,0,0,62,0,5,31,0,0,63
update,system,64,1,128,128,957,24448,0,0,0,126,0,6,63,0,0,127
update,system,128,1,256,256,1917,98048,0,0,0,254,0,7,127,0,0,255
update,system,256,1,512,512,3837,392704,0,0,0,510,0,8,255,0,0,511
update,system,512,1,1024,1024,7677,1571840,0,0,0,1022,0,9,511,0,0,1023
